INDEX,DATE,TIME,LATITUDE,N/S,LONGITUDE,E/W,SPEED,HEADING,photoMate887
1,2011/12/26,07:46:27.200,35.755837,N,139.961015,E,1.607 km/h,268.391754,
2,2011/12/26,07:46:28.400,35.755837,N,139.961014,E,1.691 km/h,268.391754,
3,2011/12/26,07:46:28.600,35.755843,N,139.961009,E,1.740 km/h,268.391754,
4,2011/12/26,07:46:28.800,35.755842,N,139.961008,E,1.759 km/h,268.391754,
5,2011/12/26,07:46:29.000,35.755841,N,139.961007,E,1.792 km/h,250.814484,
6,2011/12/26,07:46:29.200,35.755840,N,139.961006,E,1.830 km/h,250.640564,
7,2011/12/26,07:46:29.400,35.755840,N,139.961005,E,1.199 km/h,250.528046,
8,2011/12/26,07:46:30.800,35.755841,N,139.961002,E,1.093 km/h,271.666504,
9,2011/12/26,07:46:31.000,35.755846,N,139.961002,E,1.156 km/h,277.097961,
10,2011/12/26,07:46:31.200,35.755848,N,139.961002,E,1.151 km/h,282.121857,
11,2011/12/26,07:46:31.400,35.755851,N,139.961002,E,1.183 km/h,286.934875,
12,2011/12/26,07:46:31.600,35.755854,N,139.961002,E,1.217 km/h,291.505463,
13,2011/12/26,07:46:31.800,35.755853,N,139.961003,E,1.177 km/h,295.420715,
14,2011/12/26,07:46:32.000,35.755855,N,139.961002,E,1.183 km/h,298.932861,
15,2011/12/26,07:46:32.200,35.755855,N,139.961003,E,1.169 km/h,302.066437,
16,2011/12/26,07:46:32.400,35.755856,N,139.961004,E,1.160 km/h,304.963013,
17,2011/12/26,07:46:32.600,35.755858,N,139.961005,E,1.184 km/h,307.699921,
18,2011/12/26,07:46:32.800,35.755858,N,139.961006,E,1.167 km/h,310.190491,
19,2011/12/26,07:46:33.000,35.755861,N,139.961007,E,1.200 km/h,312.623413,
20,2011/12/26,07:46:33.200,35.755864,N,139.961008,E,1.232 km/h,314.984833,
21,2011/12/26,07:46:33.400,35.755869,N,139.961008,E,1.297 km/h,317.303009,
22,2011/12/26,07:46:33.600,35.755873,N,139.961009,E,1.363 km/h,319.522369,
23,2011/12/26,07:46:33.800,35.755879,N,139.961010,E,1.439 km/h,321.751373,
